ID,Description,Media_Type,Download_URL,Contribution_ID,Language_IDs,size,File_Key
a9e3060ff8c20a905525e265c7c565b2,PDF of glossed text for Early Sranan,application/pdf,Survey/1_gt.pdf,s-1,1,50302,EAEA0-F3F6-F66F-9B1E-0_1_gt.pdf
aa75008ab84afd55024c6647085711aa,Early Sranan,text/html,Survey/1.html,s-1,1,264999,
c54509f8b2fcc0d37b3ba3a1c72d0f0c,Map or figure accompanying language survey Early Sranan,image/png,Survey/1-1.png,s-1,1,104267,
9d04a82a1f7c09921234ae768910c667,PDF of glossed text for Sranan,application/pdf,Survey/2_gt.pdf,s-2,2,71503,EAEA0-A03D-7E7F-35AA-0_2_gt.pdf
f1608d81249d2cba288d0f13e3923504,Audio of the glossed text for Sranan being spoken,audio/mpeg,Survey/2_gt.mp3,s-2,2,1795970,EAEA0-A03D-7E7F-35AA-0_2_gt.mp3
81156790894df331d3718213d5b56db3,Sranan,text/html,Survey/2.html,s-2,2,372829,
49615b2639039606edfcb3cb7366e8f7,Map or figure accompanying language survey Sranan,image/png,Survey/2-1.png,s-2,2,98980,
9c929b079bdfd20c8c52cdba7b6c21cf,PDF of glossed text for Saramaccan,application/pdf,Survey/3_gt.pdf,s-3,3,56359,EAEA0-FABF-475D-5CFF-0_3_gt.pdf
6d2e697dd36d8a6980ac2ac742e1961a,Saramaccan,text/html,Survey/3.html,s-3,3,320494,
bac6922673a0feb700aecf422215cd71,Map or figure accompanying language survey Saramaccan,image/png,Survey/3-1.png,s-3,3,109137,
167f9a571dc08df068e8bdf928535ba0,PDF of glossed text for Nengee,application/pdf,Survey/4_gt.pdf,s-4,4,52792,EAEA0-43D4-4263-1F01-0_4_gt.pdf
abc88c3fae81677865ee1af01243936e,Audio of the glossed text for Nengee being spoken,audio/mpeg,Survey/4_gt.mp3,s-4,4,1336457,EAEA0-43D4-4263-1F01-0_4_gt.mp3
821b3640127445d1688de3cb6a915940,Nengee,text/html,Survey/4.html,s-4,4,264221,
1f7370712eec729f5f3c5d73b53fa2b5,Map or figure accompanying language survey Nengee,image/png,Survey/4-1.png,s-4,4,139143,
