ID,Name,Description,Contributor_ID,Chapter,Type,PHOIBLE_Segment_ID,PHOIBLE_Segment_Name,Multivalued,WALS_ID,WALS_Representation,Area,Map_Gall_Peters,metadata
0,Lexifier language for atlas map,"To help the reader’s orientation, we have classified our languages into English-based, Dutch-based, 
Portuguese-based, and so on. This classification is not entirely uncontroversial. On the one hand, 
contact languages are characterized by strong influence from multiple languages, so saying, for 
instance, that Haitian Creole is French-based is problematic, as it glosses over the very important 
contribution of the African languages, especially to the grammar of the language. For this reason, 
many authors have used expressions like “French-lexified”, “Dutch-lexified” for such languages, 
which only refer to the role of the European languages as primary lexicon-providers. We agree that 
such terms are more precise, but they are also more cumbersome, so we have mostly used the older 
(and still much more widespread) manner of talking about groups of creoles and pidgins. We think 
that it is sufficiently well-known that “English-based” (etc.) is not meant to imply anything other 
than that the bulk of the language’s lexicon is derived from English.

On the other hand, the notion of being based on a language is problematic in the case of languages 
with several lexifiers, especially Gurindji Kriol and Michif. These are shown as having two 
lexifiers (or lexifier ""other""). There are also a few other cases where it is not fully clear what
the primary lexifier is. Saramaccan’s vocabulary has a very large Portuguese component, but for 
simplicity we classify it as English-based here. Papiamentu is often thought to be originally 
(Afro-)Portuguese-based, but as it has long been influenced much more by Spanish, we classify it 
as Spanish-based.",,,primary,,,true,,,,100d93e3979d1c185744133c5e5cbd03,{}
1,"Order of subject, object, and verb","This feature (based on <span style=""font-style: italic;"">WALS</span> feature 81, by Matthew S. Dryer) concerns the ordering of subject, object and verb in non-contrastive, non-focussed transitive clauses without special topicalization, more specifically declarative clauses with both the subject and object realized as full nouns (not as pronouns). 
     We use <span style=""font-style: italic;"">subject</span> and <span style=""font-style: italic;"">object</span> in a semantic sense, to refer to the agent-like and patient-like constituents in a monotransitive clause, as in e.g. French [<span style=""font-style: italic;"">Les souris</span>] <span style=""font-style: italic;"">mangent</span> [<span style=""font-style: italic;"">le fromage</span>] 'The mice eat the cheese'. As can be seen from this example, French has SVO order (Subject-Verb-Object), because the subject <span style=""font-style: italic;"">les souris</span> 'the mice' precedes the verb and the object <span style=""font-style: italic;"">le fromage</span> 'the cheese' follows it. Since we only consider non-contrastive, non-focussed, non-topicalized clauses, cases like English <span style=""font-style: italic;"">It is the cheese that the mice eat</span> (=OSV) are disregarded here. 
	There are six logically possible orders of subject, object and verb, as shown in the list of feature values. Languages can have several word orders (e.g. German is SVO and VSO in main clauses and SOV in subordinate clauses), so several values can be true for this feature.",hubermagnus,,primary,,,true,81A,1377,Word order,1cbe1c9000e6c4f88dea85d24621072c,{}
10,Position of indefinite article in the noun phrase,"An element is considered an indefinite article if it occurs commonly with indefinite noun phrases and signals that the noun phrase is indefinite (not definite, not uniquely not identifiable by the hearer). Indefinite articles are often identical to the numeral 'one'.",haspelmathmartin,,primary,,,true,,,Word order,b3b366e85c7cfa6e505423a580d4db8d,{}
100,Negative morpheme types,"This feature (based on <span style=""font-style: italic;"">WALS</span> feature 112, by Matthew S. Dryer) deals with types of negative morphemes: affixes, particles, and auxiliaries. A fourth type is represented by languages with bipartite negation. Affixes and particles are difficult to distinguish, and the classification does not use consistent criteria, unfortunately. Negative auxiliaries are forms that distinguish tense. Many of them them are derived from English negative auxiliaries. Past-tense <span style=""font-style: italic;"">never</span> in Atlantic English-based languages is also regarded as a negative auxiliary.",haspelmathmartin michaelissusannemaria,,primary,,,true,112A,1159,"Negation, questions, and focusing",07a3c78e1626b0f4104eeafd4062a6c0,{}
101,Position of standard negation,"<span style=""font-style: italic;"">Standard negation</span> refers to the negative marker that is used for sentential negation in declarative main clauses (i.e. <span style=""font-style: italic;"">constituent negation</span>, negation in <span style=""font-style: italic;"">subordinate clauses</span> and in <span style=""font-style: italic;"">imperatives</span> or <span style=""font-style: italic;"">questions</span> is disregarded for this feature). We ask where the negative marker is located with respect to the main verb (auxiliaries and copulas are ignored for this feature). It does not matter whether the negative marker is a free word (=particle) or an affix.
(<span style=""font-style: italic;"">WALS</span> 2013 has a closely related feature, feature 144A, ""Position of negative word with respect to subject, object, and verb"", by Matthew S. Dryer).",haspelmathmartin,,primary,,,true,,,"Negation, questions, and focusing",d2588b959d2e31dd38ca1994e5af2576,{}
102,Negation and indefinite pronouns,"This feature (based on <span style=""font-style: italic;"">WALS</span> feature 115, by Martin Haspelmath) concerns the expression of negative sentences with indefinite pronouns such as ‘I didn’t see anything’ or ‘Nobody came to my house’. The question asked here is whether in such sentences the indefinite pronoun co-occurs with predicate negation (e.g. English<span style=""font-style: italic;""> I did not see anybody</span>), or whether the indefinite pronoun precludes it (i.e. does not allow negation to be used, e.g. English<span style=""font-style: italic;""> I saw nobody/*I did not see nobody</span>). Note that in this feature, we are not interested in whether the indefinite pronoun itself carries negative meaning, i.e. the issue of “double negation” is left aside. Sentences like <span style=""font-style: italic;"">I didn’t see anybody</span> and <span style=""font-style: italic;"">I didn’t see nobody</span> have the same status (indefinites cooccur with predicate negation). The reason for this is that in many languages it is hard to tell whether an indefinite pronoun is “inherently negative”. The indefinite words used in such sentences are not always special pronouns, but are sometimes generic nouns like ‘person’, or ‘thing’ (as in Feature 21).",haspelmathmartin,,primary,,,false,115A,206,"Negation, questions, and focusing",f3656c67a695350d60189b2c78eb2b43,{}
103,Polar questions,"This feature (based on <span style=""font-style: italic;"">WALS</span> feature 116, by Matthew S. Dryer) concerns the way in which polar questions (also called <span style=""font-style: italic;"">yes-no questions</span>) are coded. The most common coding types are intonational coding and segmental coding (by a particle or by an affix on the verb). In addition to segmental and intonational marking, polar questions may be marked by special word order (as in English) and by an A-not-A pattern (as in Mandarin Chinese). ""Only interrogative intonation"" means that a polar differs from a declarative sentence only by intonation.",haspelmathmartin,,primary,,,true,116A,954,"Negation, questions, and focusing",dac7c040cc13dbc6faff1f776cbe0a39,{}
104,Focusing of the noun phrase,"A noun or a noun phrase can be focused (contrastively) by different means. Among the most commonly used strategies in the <span style=""font-style: italic;"">APiCS</span> languages, we find cleft constructions. A cleft construction is a biclausal construction consisting of a focus clause and a background clause. The focus clause consists of the focus (i.e. the focused noun phrase) and normally a highlighter, either a copula or a focus particle).",maurerphilippe,,primary,,,true,,,"Negation, questions, and focusing",1146d83f3880ad475a28fe35ddbff0ac,{}
105,Verb doubling and focus,"This feature is about the possibility of doubling the verb in order to focus on the situation referred to by the verb. 
There are two main kinds of verb doubling constructions: the fronting of the verb with a copy of the verb left in the background clause, and the reduplication of the verb within the matrix clause. The first is illustrated by Trinidad English Creole <span style=""font-style: italic;"">Iz </span><span style=""font-weight: bold; font-style: italic;"">walk</span><span style=""font-style: italic;""> he </span><span style=""font-weight: bold; font-style: italic;"">walkin</span>. ‘He really is walking (and not taking the bus).’ The second is illustrated by Sango <span style=""font-style: italic;"">A-zo a-</span><span style=""font-weight: bold; font-style: italic;"">vo</span><span style=""font-style: italic;""> gi </span><span style=""font-weight: bold; font-style: italic;"">vo</span><span style=""font-style: italic;"">-ngo. </span>‘People just buy it (without subscribing to the newspaper).’",maurerphilippe,,primary,,,true,,,"Negation, questions, and focusing",d560e12726a706c38d5f011937650c59,{}
106,Focus particle ‘also’,"This feature is about the position of a particle that corresponds to the English <span style=""font-style: italic;"">also</span> or <span style=""font-style: italic;"">too</span>. The focus particle indicates that its referent is added to a previously mentioned set of referents. The effect of such particles is to focus on a certain constituent, normally a noun phrase or adverbial phrase. (Focus on verbs involves additional complexity and is disregarded in this feature.) For example: <span style=""font-style: italic;"">John and Lea came to my party; Mary too came.</span> Here <span style=""font-style: italic;"">Mary</span> is the focused element.",haspelmathmartin michaelissusannemaria,,primary,,,true,,,"Negation, questions, and focusing",f29e2a08428e8830be0452c04b10d7c8,{}
