pk,jsondata,id,name,description,markup_description,url,email,address,version
1,,abohenocho,Enoch O. Aboh,,,http://home.medewerker.uva.nl/e.o.aboh/,,University of Amsterdam,1
2,,ansaldoumberto,Umberto Ansaldo,,,http://www.hku.hk/linguist/sta/uansaldo/,,University of Hong Kong,1
3,,bakerphilip,Philip Baker,,,,,University of Westminster,1
4,,bakkerpeter,Peter Bakker,,,http://person.au.dk/en/linpb@hum,,Aarhus University,1
5,,baptistamarlyse,Marlyse Baptista,,,http://www-personal.umich.edu/~baptistm/,,University of Michigan,1
6,,bartensangela,Angela Bartens,,,http://blogs.helsinki.fi/abartens/,,University of Helsinki & University of Turku,1
7,,baxteralann,Alan N. Baxter,,,http://www.letras.ufba.br/content/alan-norman-baxter,,Universidade Federal da Bahia,1
8,,bolleeannegret,Annegret Bollée,,,http://www.uni-bamberg.de/romling/prof-em-dr-annegret-bollee/,,University of Bamberg,1
9,,bruynadrienne,Adrienne Bruyn,,,http://www.nias.knaw.nl/Pages/NIA/20/534.bGFuZz1FTkc.html,,University of Amsterdam,1
10,,clementsjclancy,J. Clancy Clements,,,http://www.indiana.edu/~spanport/people/clements.shtml,,"Indiana University, Bloomington",1
11,,denbestenhans,Hans den Besten,,,http://www.let.rug.nl/koster/DenBesten/bibliography.pdf,,University of Amsterdam,1
12,,devonishhubert,Hubert Devonish,,,http://www.mona.uwi.edu/dllp/jlu/staff/devonish.htm,,University of the West Indies,1
13,,ehrhartsabine,Sabine Ehrhart,,,http://wwwen.uni.lu/research/flshase/languages_culture_media_and_identities_lcmi/staff/sabine_ehrhart,,University of Luxembourg,1
14,,escuregenevieve,Geneviève Escure,,,http://english.cla.umn.edu/faculty/escure/escure.htm,,"University of Minnesota, Minneapolis",1
15,,faraclasnicholas,Nicholas Faraclas,,,http://humanidades.uprrp.edu/ingles/faculty/faraclasn.htm,,University of Puerto Rico,1
16,,farquharsonjosepht,Joseph T. Farquharson,,,https://sites.google.com/site/jtfarquharson/,,University of the West Indies and University of Bielefeld,1
17,,fattierdominique,Dominique Fattier,,,http://www.u-cergy.fr/fr/_plugins/mypage/mypage/content/fattier.html,,University of Cergy-Pontoise,1
18,,finneymalcolmawadajin,Malcolm Awadajin Finney,,,http://www.csulb.edu/~mfinney/research.html,,"California State University, Long Beach",1
19,,foleywilliama,William A. Foley,,,http://sydney.edu.au/arts/linguistics/staff/academic_staff/william_foley.shtml,,University of Sydney,1
20,,grantanthonyp,Anthony P. Grant,,,http://www.edgehill.ac.uk/profiles/anthony-grant,,"Edge Hill University, Ormskirk (UK)",1
21,,hackertstephanie,Stephanie Hackert,,,http://www.anglistik.uni-muenchen.de/personen/professoren/hackert/index.html,,Ludwig-Maximilians-Universität Munich,1
22,,hagemeijertjerk,Tjerk Hagemeijer,,,http://www.clul.ul.pt/en/researcher/145-tjerk-hagemeijer,,University of Lisbon,1
23,,holmjohn,John Holm,,,http://www.uc.pt/uid/celga/membros_colaboradores/membros/johnholm,,University of Coimbra,1
24,,hubermagnus,Magnus Huber,,,http://www.uni-giessen.de/anglistik/ling/Staff/huber/main.html,,University of Giessen,1
25,,intumboincanha,Incanha Intumbo,,,http://www.uc.pt/creolistics/research/guine/incanha,,University of Coimbra,1
26,,invernoliliana,Liliana Inverno,,,http://www.uc.pt/uid/celga/membros_colaboradores/colaboradoresnaodoutorados/lilianainverno,,University of the Algarve,1
27,,kleinthomasb,Thomas B. Klein,,,http://sites.google.com/a/georgiasouthern.edu/tklein/home,,Georgia Southern University,1
28,,klinglerthomasa,Thomas A. Klingler,,,http://stonecenter.tulane.edu/articles/detail/192/Thomas-A.-Klingler,,"Tulane University, New Orleans",1
29,,kouwenbergsilvia,Silvia Kouwenberg,,,http://mord.mona.uwi.edu/staff/view.asp?pid=2098,,University of the West Indies,1
30,,kriegelsibylle,Sibylle Kriegel,,,http://creoles.free.fr/kriegelperso.htm,,Université Aix-Marseille,1
31,,langjurgen,Jürgen Lang,,,http://www.prof-juergen-lang.de/,,University of Erlangen-Nürnberg,1
32,,limlisa,Lisa Lim,,,http://www.hku.hk/english/staff/lisalim.htm,,University of Hong Kong,1
33,,ludwigralph,Ralph Ludwig,,,http://www.romanistik.uni-halle.de/studienbereiche/sprachwissludwig/profludwig/,,University of Halle,1
34,,luffinxavier,Xavier Luffin,,,http://www.ulb.ac.be/rech/inventaire/chercheurs/7/CH7467.html,,Université Libre de Bruxelles,1
35,,maurerphilippe,Philippe Maurer,,,,,University of Zurich,1
36,,mesthrierajend,Rajend Mesthrie,,,,,University of Cape Town,1
37,,meyerhoffmiriam,Miriam Meyerhoff,,,http://artsfaculty.auckland.ac.nz/staff/?UPI=mmey023,,University of Auckland,1
38,,michaelissusannemaria,Susanne Maria Michaelis,,,http://www.eva.mpg.de/lingua/staff/michaelis/home.php,,Max Planck Institute for Evolutionary Anthropology,1
39,,miggebettina,Bettina Migge,,,http://www.ucd.ie/research/people/appliedlanguagecentre/drbettinamigge/,,University College Dublin,1
40,,mufwenesalikokos,Salikoko S. Mufwene,,,http://humanities.uchicago.edu/faculty/mufwene/,,University of Chicago,1
