pk,jsondata,id,name,description,markup_description,parameter_pk,number,abbr,version
1,"{""color"": ""0000FF"", ""icon"": ""pie-100-0000FF.png""}",0-1,English-based,,,1,1,English-based,1
2,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",0-2,French-based,,,1,5,French-based,1
3,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",0-3,Portuguese-based,,,1,3,Portuguese-based,1
4,"{""color"": ""FF7F00"", ""icon"": ""pie-100-FF7F00.png""}",0-4,Spanish-based,,,1,4,Spanish-based,1
5,"{""color"": ""800080"", ""icon"": ""pie-100-800080.png""}",0-5,Arabic-based,,,1,6,Arabic-based,1
6,"{""color"": ""000000"", ""icon"": ""pie-100-000000.png""}",0-6,Bantu-based,,,1,7,Bantu-based,1
7,"{""color"": ""ADD8E6"", ""icon"": ""pie-100-ADD8E6.png""}",0-7,Dutch-based,,,1,2,Dutch-based,1
8,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",0-8,Malay-based,,,1,8,Malay-based,1
9,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",0-9,Other-based,,,1,9,Other-based,1
10,"{""color"": ""0000FF"", ""icon"": ""pie-100-0000FF.png""}",1-1,Subject-object-verb (SOV),,,2,2,Subject-object-verb (SOV),1
11,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",1-2,Subject-verb-object (SVO),,,2,1,Subject-verb-object (SVO),1
12,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",1-3,Verb-subject-object (VSO),,,2,3,Verb-subject-object (VSO),1
13,"{""color"": ""964B00"", ""icon"": ""pie-100-964B00.png""}",1-4,Verb-object-subject (VOS),,,2,4,Verb-object-subject (VOS),1
14,"{""color"": ""800080"", ""icon"": ""pie-100-800080.png""}",1-5,Object-verb-subject (OVS),,,2,6,Object-verb-subject (OVS),1
15,"{""color"": ""ADD8E6"", ""icon"": ""pie-100-ADD8E6.png""}",1-6,Object-subject-verb (OSV),,,2,5,Object-subject-verb (OSV),1
16,"{""color"": ""0000FF"", ""icon"": ""pie-100-0000FF.png""}",2-1,Possessor-possessum,,,3,1,Possessor-possessum,1
17,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",2-2,Possessum-possessor,,,3,2,Possessum-possessor,1
18,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",3-1,Modifying adjective precedes noun,,,4,1,Modifying adjective precedes noun,1
19,"{""color"": ""800080"", ""icon"": ""pie-100-800080.png""}",3-2,Modifying adjective follows noun,,,4,2,Modifying adjective follows noun,1
20,"{""color"": ""0000FF"", ""icon"": ""pie-100-0000FF.png""}",4-1,Postpositions,,,5,2,Postpositions,1
21,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",4-2,Prepositions,,,5,1,Prepositions,1
22,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",4-5,Circumpositions,,,5,3,Circumpositions,1
23,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",5-1,Demonstrative word precedes noun,,,6,1,Demonstrative word precedes noun,1
24,"{""color"": ""800080"", ""icon"": ""pie-100-800080.png""}",5-2,Demonstrative word follows noun,,,6,2,Demonstrative word follows noun,1
25,"{""color"": ""ADD8E6"", ""icon"": ""pie-100-ADD8E6.png""}",5-5,Demonstrative simultaneously before and after noun,,,6,3,Demonstrative before and after noun,1
26,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",6-1,Numeral precedes noun,,,7,1,Numeral precedes noun,1
27,"{""color"": ""800080"", ""icon"": ""pie-100-800080.png""}",6-2,Numeral follows noun,,,7,2,Numeral follows noun,1
28,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",7-1,Relative clause follows noun,,,8,1,Relative clause follows noun,1
29,"{""color"": ""0000FF"", ""icon"": ""pie-100-0000FF.png""}",7-2,Relative clause precedes noun,,,8,2,Relative clause precedes noun,1
30,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",7-3,Internally-headed relative clause,,,8,3,Internally-headed relative clause,1
31,"{""color"": ""ADD8E6"", ""icon"": ""pie-100-ADD8E6.png""}",7-4,Correlative relative clause,,,8,4,Correlative relative clause,1
32,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",7-5,Adjoined relative clause,,,8,5,Adjoined relative clause,1
33,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",8-1,Degree word precedes adjective,,,9,1,Degree word precedes adjective,1
34,"{""color"": ""800080"", ""icon"": ""pie-100-800080.png""}",8-2,Degree word follows adjective,,,9,2,Degree word follows adjective,1
35,"{""color"": ""ADD8E6"", ""icon"": ""pie-100-ADD8E6.png""}",8-3,Degree word precedes and follows adjective,,,9,3,Degree word precedes and follows adjective,1
36,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",9-1,Definite article is preposed,,,10,1,Definite article is preposed,1
